category,title_categories,summarize_categories,title,author,fascicle,year,start_page,end_page,pdf_link,id
"['Filosofía', 'Política', 'Filosofía y Política']",['Determinismo'],"['Determinismo', 'Vida', 'Variedad', 'Sucesión', 'Funciones']",El determinismo,Juan Zaragüeta Bengoechea,1,1973,00009,00020,abrir_pdf.php?id=ANU-M-1973-10000900020,ANU-M-1973-10000900020
"['Filosofía', 'Política', 'Filosofía y Política']","['Ciudades', 'Formas', 'Convivencia']","['Ciudad', 'Ciudades', 'Vida', 'Social', 'Población']",Las nuevas ciudades: hacia nuevas formas de convivencia,Manuel Fraga Iribarne,1,1973,00021,00051,abrir_pdf.php?id=ANU-M-1973-10002100051,ANU-M-1973-10002100051
"['Filosofía', 'Política', 'Filosofía y Política']","['Aggiornamento', 'Clasificación', 'Formas', 'Gobierno', 'Democracia', 'Anarquía', 'Cesarismo']","['Democracia', 'Forma', 'Pueblo', 'Anarquía', 'Formas']","""Aggiornamento"" de la clasificación de las formas de gobierno: democracia, anarquía y cesarismo",Antonio Perpiñá Rodríguez,1,1973,00053,00071,abrir_pdf.php?id=ANU-M-1973-10005300071,ANU-M-1973-10005300071
"['Filosofía', 'Política', 'Filosofía y Política']",['Formulaciones'],"['Consejo', 'Cortes', 'Gobierno', 'Leyes']",Las formulaciones constitucionales,José María Cordero Torres,1,1973,00073,00108,abrir_pdf.php?id=ANU-M-1973-10007300108,ANU-M-1973-10007300108
"['Sociología', 'Economía', 'Sociología y Economía']","['Progreso', 'Crisis', 'Cambio']","['Historia', 'Desarrollo', 'Idea', 'Evolución', 'Cambio']",Progreso y crisis en el cambio histórico,Carlos Ruiz del Castillo,1,1973,00111,00128,abrir_pdf.php?id=ANU-M-1973-10011100128,ANU-M-1973-10011100128
"['Sociología', 'Economía', 'Sociología y Economía']","['Inquietudes', 'Siglo']","['Población', 'Económico', 'Productividad', 'Crecimiento', 'Organización']",Las inquietudes de fin de siglo,Valentín-Andrés Álvarez,1,1973,00129,00141,abrir_pdf.php?id=ANU-M-1973-10012900141,ANU-M-1973-10012900141
"['Sociología', 'Economía', 'Sociología y Economía']","['Estructuras', 'Formas']","['Social', 'Realidad', 'Formas', 'Sociedad', 'Estructura']",Estructuras sociales y formas de saber,Luis Legaz Lacambra,1,1973,00143,00159,abrir_pdf.php?id=ANU-M-1973-10014300159,ANU-M-1973-10014300159
"['Sociología', 'Economía', 'Sociología y Economía']","['Mutaciones', 'Sociedad']","['Condiciones', 'Sociedad', 'Oficiales', 'Militar', 'Países']",Mutaciones fundamentales de la sociedad militar contemporánea,Manuel Díez Alegría,1,1973,00161,00176,abrir_pdf.php?id=ANU-M-1973-10016100176,ANU-M-1973-10016100176
"['Sociología', 'Economía', 'Sociología y Economía']","['Inflación', 'Imperio Romano']","['Política', 'Grupos', 'Político', 'Vida']",La inflación del Imperio Romano,Mariano Navarro Rubio,1,1973,00177,00214,abrir_pdf.php?id=ANU-M-1973-10017700214,ANU-M-1973-10017700214
['Figuras Intelectuales'],['Semblanza Luis Redonet'],"['Redonet', 'Luis', 'Vida', 'Amor', 'Maura']",Semblanza de Luis Redonet,Francisco Moreno de Herrera,1,1973,00217,00230,abrir_pdf.php?id=ANU-M-1973-10021700230,ANU-M-1973-10021700230
['Vida Académica'],"['Pensamiento', 'Inmortalidad', 'Alma']","['Hombre', 'Muerte', 'Cuerpo', 'Vida', 'Alma']",El pensamiento contemporáneo sobre la inmortalidad del alma,José Luis López Mosteiro,1,1973,00233,00291,abrir_pdf.php?id=ANU-M-1973-10023300291,ANU-M-1973-10023300291
['Vida Académica'],"['Crónica', 'Curso', '1970-1971']","['Conde', 'Premio', 'Coloquio', 'Señores', 'Marzo']",Crónica del curso 1970-1971,RACMYP,1,1973,00293,00302,abrir_pdf.php?id=ANU-M-1973-10029300302,ANU-M-1973-10029300302
['Vida Académica'],"['Publicaciones', 'Real Academia']","['Ingreso', 'Discurso', 'Contestación', 'José', 'Política']",Últimas publicaciones de la Real Academia,RACMYP,1,1973,00305,00305,abrir_pdf.php?id=ANU-M-1973-10030500305,ANU-M-1973-10030500305
