id,category,title,author,facicle,year,start_page,end_page,pdf_link
ANU-M-1973-10000900020,Filosofía y Política,El determinismo,Juan Zaragüeta Bengoechea,1,1973,00009,00020,abrir_pdf.php?id=ANU-M-1973-10000900020
ANU-M-1973-10002100051,Filosofía y Política,Las nuevas ciudades: hacia nuevas formas de convivencia,Manuel Fraga Iribarne,1,1973,00021,00051,abrir_pdf.php?id=ANU-M-1973-10002100051
ANU-M-1973-10005300071,Filosofía y Política,"""Aggiornamento"" de la clasificación de las formas de gobierno: democracia, anarquía y cesarismo",Antonio Perpiñá Rodríguez,1,1973,00053,00071,abrir_pdf.php?id=ANU-M-1973-10005300071
ANU-M-1973-10007300108,Filosofía y Política,Las formulaciones constitucionales,José María Cordero Torres,1,1973,00073,00108,abrir_pdf.php?id=ANU-M-1973-10007300108
ANU-M-1973-10011100128,Sociología y Economía,Progreso y crisis en el cambio histórico,Carlos Ruiz del Castillo,1,1973,00111,00128,abrir_pdf.php?id=ANU-M-1973-10011100128
ANU-M-1973-10012900141,Sociología y Economía,Las inquietudes de fin de siglo,Valentín-Andrés Álvarez,1,1973,00129,00141,abrir_pdf.php?id=ANU-M-1973-10012900141
ANU-M-1973-10014300159,Sociología y Economía,Estructuras sociales y formas de saber,Luis Legaz Lacambra,1,1973,00143,00159,abrir_pdf.php?id=ANU-M-1973-10014300159
ANU-M-1973-10016100176,Sociología y Economía,Mutaciones fundamentales de la sociedad militar contemporánea,Manuel Díez Alegría,1,1973,00161,00176,abrir_pdf.php?id=ANU-M-1973-10016100176
ANU-M-1973-10017700214,Sociología y Economía,La inflación del Imperio Romano,Mariano Navarro Rubio,1,1973,00177,00214,abrir_pdf.php?id=ANU-M-1973-10017700214
ANU-M-1973-10021700230,Figuras Intelectuales,Semblanza de Luis Redonet,Francisco Moreno de Herrera,1,1973,00217,00230,abrir_pdf.php?id=ANU-M-1973-10021700230
ANU-M-1973-10023300291,Vida Académica,El pensamiento contemporáneo sobre la inmortalidad del alma,José Luis López Mosteiro,1,1973,00233,00291,abrir_pdf.php?id=ANU-M-1973-10023300291
ANU-M-1973-10029300302,Vida Académica,Crónica del curso 1970-1971,RACMYP,1,1973,00293,00302,abrir_pdf.php?id=ANU-M-1973-10029300302
ANU-M-1973-10030500305,Vida Académica,Últimas publicaciones de la Real Academia,RACMYP,1,1973,00305,00305,abrir_pdf.php?id=ANU-M-1973-10030500305
