id,category,title,author,fascicle,year,start_page,end_page,pdf_link
ANU-M-2019-10000500014,Intervenciones Académicas. Ciencias Sociales,Algunas vicisitudes de las Ciencias Sociales en España,Salustiano del Campo Urbano,1,2019,00005,00014,abrir_pdf.php?id=ANU-M-2019-10000500014
ANU-M-2019-10001500026,Intervenciones Académicas. Ciencias Sociales,"Santa Marta de Ribarteme (a la vida por la muerte, al independentismo por la paradoja)",Carmelo Lisón Tolosana,1,2019,00015,00026,abrir_pdf.php?id=ANU-M-2019-10001500026
ANU-M-2019-10002700041,Intervenciones Académicas. Ciencias Sociales,La UE como comunidad de valores,Marcelino Oreja Aguirre,1,2019,00027,00041,abrir_pdf.php?id=ANU-M-2019-10002700041
ANU-M-2019-10004100058,Intervenciones Académicas. Ciencias Sociales,El descenso de la natalidad en España,Julio Iglesias de Ussel,1,2019,00041,00058,abrir_pdf.php?id=ANU-M-2019-10004100058
ANU-M-2019-10005900072,Intervenciones Académicas. Ciencias Sociales,Democracia callejera,Alejandro Nieto García,1,2019,00059,00072,abrir_pdf.php?id=ANU-M-2019-10005900072
ANU-M-2019-10007300086,Intervenciones Académicas. Ciencias Sociales,De Job a Kafka,Ricardo SanMartín Arce,1,2019,00073,00086,abrir_pdf.php?id=ANU-M-2019-10007300086
ANU-M-2019-10008700104,Intervenciones Académicas. Ciencias Sociales,Sociología y literatura como formas de conocimiento social,Emilio Lamo de Espinosa,1,2019,00087,00104,abrir_pdf.php?id=ANU-M-2019-10008700104
ANU-M-2019-10010500120,Intervenciones Académicas. Ciencias Sociales,¿Tienen futuro los Estados?,Benigno Pendás García,1,2019,00105,00120,abrir_pdf.php?id=ANU-M-2019-10010500120
ANU-M-2019-10012100131,Intervenciones Académicas. Ciencias Sociales,La Predicción en Ciencias Sociales,Juan Díez Nicolás,1,2019,00121,00131,abrir_pdf.php?id=ANU-M-2019-10012100131
ANU-M-2019-10013500146,Intervenciones Académicas. Ciencias Económicas,El papel de Académicos de esta Real Academia que condujeron al modelo socioeconómico de la Constitución de 1978,Juan Velarde Fuertes,1,2019,00135,00146,abrir_pdf.php?id=ANU-M-2019-10013500146
ANU-M-2019-10014700162,Intervenciones Académicas. Ciencias Económicas,La crisis y la protección de los inversores no profesionales,Julio Segura Sánchez,1,2019,00147,00162,abrir_pdf.php?id=ANU-M-2019-10014700162
ANU-M-2019-10016300186,Intervenciones Académicas. Ciencias Económicas,Transición energética,Jaime Terceiro Lomba,1,2019,00163,00186,abrir_pdf.php?id=ANU-M-2019-10016300186
ANU-M-2019-10018700198,Intervenciones Académicas. Ciencias Económicas,La economía y la Defensa Nacional,José María Serrano Sanz,1,2019,00187,00198,abrir_pdf.php?id=ANU-M-2019-10018700198
ANU-M-2019-10019900208,Intervenciones Académicas. Ciencias Económicas,¿Es posible una democracia liberal?,Pedro Schwartz Girón,1,2019,00199,00208,abrir_pdf.php?id=ANU-M-2019-10019900208
ANU-M-2019-10020900230,Intervenciones Académicas. Ciencias Económicas,"Datos, incertidumbre y lenguaje",Alfonso Novales Cinca,1,2019,00209,00230,abrir_pdf.php?id=ANU-M-2019-10020900230
ANU-M-2019-10023100240,Intervenciones Académicas. Ciencias Económicas,Ciencia y pensamiento trascendente ante algunas incertidumbres cosmológicas en el universo antrópico,Ramón Tamames Gómez,1,2019,00231,00240,abrir_pdf.php?id=ANU-M-2019-10023100240
ANU-M-2019-10024100256,Intervenciones Académicas. Ciencias Económicas,Los retos de la era digital,Juan Miguel Villar Mir,1,2019,00241,00256,abrir_pdf.php?id=ANU-M-2019-10024100256
ANU-M-2019-10025700278,Intervenciones Académicas. Ciencias Económicas,La digitalización del dinero,José Manuel González-Páramo,1,2019,00257,00278,abrir_pdf.php?id=ANU-M-2019-10025700278
ANU-M-2019-10028100284,Intervenciones Académicas. Ciencias Filosóficas,"Un ejemplo señero de formación por la música: la Pasión según San Mateo, de Juan Sebastián Bach",Alfonso López Quintás,1,2019,00281,00284,abrir_pdf.php?id=ANU-M-2019-10028100284
ANU-M-2019-10029500322,Intervenciones Académicas. Ciencias Filosóficas,Lecturas teológicas alternativas del cristianismo,Olegario González de Cardedal,1,2019,00295,00322,abrir_pdf.php?id=ANU-M-2019-10029500322
ANU-M-2019-10032300346,Intervenciones Académicas. Ciencias Filosóficas,"A vueltas con la autonomía: tensiones, aporías y perplejidades",Pedro Cerezo Galán,1,2019,00323,00346,abrir_pdf.php?id=ANU-M-2019-10032300346
ANU-M-2019-10034700368,Intervenciones Académicas. Ciencias Filosóficas,Implicaciones psicológicas en el tema del cambio climático,Heliodoro Carpintero Capell,1,2019,00347,00368,abrir_pdf.php?id=ANU-M-2019-10034700368
ANU-M-2019-10036900378,Intervenciones Académicas. Ciencias Filosóficas,Control de constitucionalidad: entre tradición y globalización,Andrés Ollero Tassara,1,2019,00369,00378,abrir_pdf.php?id=ANU-M-2019-10036900378
