id,category,title,author,facicle,year,start_page,end_page,pdf_link
ANU-M-1973-10000900020,Filosofía y Política,El determinismo,Juan Zaragüeta Bengoechea,1,1973,00009,00020,abrir_pdf.php?id=ANU-M-1973-10000900020
ANU-M-1973-10002100051,Filosofía y Política,Las nuevas ciudades: hacia nuevas formas de convivencia,Manuel Fraga Iribarne,1,1973,00021,00051,abrir_pdf.php?id=ANU-M-1973-10002100051
ANU-M-1973-10005300071,Filosofía y Política,"""Aggiornamento"" de la clasificación de las formas de gobierno: democracia, anarquía y cesarismo",Antonio Perpiñá Rodríguez,1,1973,00053,00071,abrir_pdf.php?id=ANU-M-1973-10005300071
ANU-M-1973-10007300108,Filosofía y Política,Las formulaciones constitucionales,José María Cordero Torres,1,1973,00073,00108,abrir_pdf.php?id=ANU-M-1973-10007300108
ANU-M-1973-10011100128,Sociología y Economía,Progreso y crisis en el cambio histórico,Carlos Ruiz del Castillo,1,1973,00111,00128,abrir_pdf.php?id=ANU-M-1973-10011100128
ANU-M-1973-10012900141,Sociología y Economía,Las inquietudes de fin de siglo,Valentín-Andrés Álvarez,1,1973,00129,00141,abrir_pdf.php?id=ANU-M-1973-10012900141
ANU-M-1973-10014300159,Sociología y Economía,Estructuras sociales y formas de saber,Luis Legaz Lacambra,1,1973,00143,00159,abrir_pdf.php?id=ANU-M-1973-10014300159
ANU-M-1973-10016100176,Sociología y Economía,Mutaciones fundamentales de la sociedad militar contemporánea,Manuel Díez Alegría,1,1973,00161,00176,abrir_pdf.php?id=ANU-M-1973-10016100176
ANU-M-1973-10017700214,Sociología y Economía,La inflación del Imperio Romano,Mariano Navarro Rubio,1,1973,00177,00214,abrir_pdf.php?id=ANU-M-1973-10017700214
ANU-M-1973-10021700230,Figuras Intelectuales,Semblanza de Luis Redonet,Francisco Moreno de Herrera,1,1973,00217,00230,abrir_pdf.php?id=ANU-M-1973-10021700230
ANU-M-1973-10023300291,Vida Académica,El pensamiento contemporáneo sobre la inmortalidad del alma,José Luis López Mosteiro,1,1973,00233,00291,abrir_pdf.php?id=ANU-M-1973-10023300291
ANU-M-1973-10029300302,Vida Académica,Crónica del curso 1970-1971,RACMYP,1,1973,00293,00302,abrir_pdf.php?id=ANU-M-1973-10029300302
ANU-M-1973-10030500305,Vida Académica,Últimas publicaciones de la Real Academia,RACMYP,1,1973,00305,00305,abrir_pdf.php?id=ANU-M-1973-10030500305
ANU-M-1974-10000900017,Filosofía y Política,Supuestos ideológicos de los sistemas económicos,Juan Zaragüeta Bengoechea,1,1974,00009,00017,abrir_pdf.php?id=ANU-M-1974-10000900017
ANU-M-1974-10001900052,Filosofía y Política,Cambio social y reforma política,Manuel Fraga Iribarne,1,1974,00019,00052,abrir_pdf.php?id=ANU-M-1974-10001900052
ANU-M-1974-10005500067,Filosofía y Política,La opinión pública,Francisco Moreno de Herrera,1,1974,00055,00067,abrir_pdf.php?id=ANU-M-1974-10005500067
ANU-M-1974-10006900097,Filosofía y Política,La Comunidad Económica Europea desde su ampliación,Antonio Truyol Serra,1,1974,00069,00097,abrir_pdf.php?id=ANU-M-1974-10006900097
ANU-M-1974-10010100131,Sociología y Economía,Diseño de una Sociología,Juan Zaragüeta Bengoechea,1,1974,00101,00131,abrir_pdf.php?id=ANU-M-1974-10010100131
ANU-M-1974-10013300150,Sociología y Economía,"Pasado, presente y futuro del desarrollo",Luis Olariaga,1,1974,00133,00150,abrir_pdf.php?id=ANU-M-1974-10013300150
ANU-M-1974-10015300171,Sociología y Economía,El centenario del marginalismo,José Castañeda Chornet,1,1974,00153,00171,abrir_pdf.php?id=ANU-M-1974-10015300171
ANU-M-1974-10017300214,Sociología y Economía,La evolución jurídico-social de la empresa,Alberto Martín Artajo,1,1974,00173,00214,abrir_pdf.php?id=ANU-M-1974-10017300214
ANU-M-1974-10021700235,Sociología y Economía,Varia económica,José María de Oriol y Urquijo,1,1974,00217,00235,abrir_pdf.php?id=ANU-M-1974-10021700235
ANU-M-1974-10023700266,Sociología y Economía,Geografía humanística del mundo en desarrollo,José María Cordero Torres,1,1974,00237,00266,abrir_pdf.php?id=ANU-M-1974-10023700266
ANU-M-1974-10027100283,Figuras Intelectuales,Tributo académico a la memoria de don Eloy Montero Gutiérrez,Carlos Ruiz del Castillo,1,1974,00271,00283,abrir_pdf.php?id=ANU-M-1974-10027100283
ANU-M-1974-10028500305,Figuras Intelectuales,Canalejas: evolución política de un hombre de Estado,Francisco Moreno de Herrera,1,1974,00285,00305,abrir_pdf.php?id=ANU-M-1974-10028500305
ANU-M-1974-10030900329,Vida Académica,Crónica del curso 1971-1972,RACMYP,1,1974,00309,00329,abrir_pdf.php?id=ANU-M-1974-10030900329
ANU-M-1974-10033100366,Vida Académica,Disertaciones académicas en los años 1940-1970,RACMYP,1,1974,00331,00366,abrir_pdf.php?id=ANU-M-1974-10033100366
ANU-M-1974-10036900369,Vida Académica,Últimas publicaciones de la Real Academia,RACMYP,1,1974,00369,00369,abrir_pdf.php?id=ANU-M-1974-10036900369
ANU-M-1974-20000700013,Necrológicas,En la muerte de nuestro Presidente,RACMYP,2,1974,00007,00013,abrir_pdf.php?id=ANU-M-1974-20000700013
ANU-M-1974-20001700080,Filosofía y Política,Esquema y teoría de la Historia,Juan Zaragüeta Bengoechea,2,1974,00017,00080,abrir_pdf.php?id=ANU-M-1974-20001700080
ANU-M-1974-20008100095,Filosofía y Política,Acoso y ocaso de las libertades humanas,José María Cordero Torres,2,1974,00081,00095,abrir_pdf.php?id=ANU-M-1974-20008100095
ANU-M-1974-20009700107,Filosofía y Política,Un vacío orgánico regional: el Mediterráneo,José María Cordero Torres,2,1974,00097,00107,abrir_pdf.php?id=ANU-M-1974-20009700107
ANU-M-1974-20010900127,Filosofía y Política,Filosofía y Sociología de la libertad,Luis Legaz Lacambra,2,1974,00109,00127,abrir_pdf.php?id=ANU-M-1974-20010900127
ANU-M-1974-20012900149,Filosofía y Política,"Sociedad, libertad, autoridad. Examen de un caso: los sucesos de mayo de 1968 en París",Antonio Perpiñá Rodríguez,2,1974,00129,00149,abrir_pdf.php?id=ANU-M-1974-20012900149
ANU-M-1974-20015300168,Sociología y Economía,La hacienda pública dentro de la economía nacional,José Castañeda Chornet,2,1974,00153,00168,abrir_pdf.php?id=ANU-M-1974-20015300168
ANU-M-1974-20016900200,Sociología y Economía,Alienación y convivencia en Sartre,Manuel Alonso Olea,2,1974,00169,00200,abrir_pdf.php?id=ANU-M-1974-20016900200
ANU-M-1974-20020100217,Sociología y Economía,Contrastes socio-políticos de dos países comunistas,Francisco Moreno de Herrera,2,1974,00201,00217,abrir_pdf.php?id=ANU-M-1974-20020100217
ANU-M-1974-20022100236,Figuras Intelectuales,In memoriam. Glosa de la obra del académico P. Venancio D. Carro,Carlos Ruiz del Castillo,2,1974,00221,00236,abrir_pdf.php?id=ANU-M-1974-20022100236
ANU-M-1974-20023700255,Figuras Intelectuales,«Memoria de José Larraz», José María de Areilza y Martínez Rodas,2,1974,00237,00255,abrir_pdf.php?id=ANU-M-1974-20023700255
ANU-M-1974-20025900270,Vida Académica,Crónica del curso 1972-1973,RACMYP,2,1974,00259,00270,abrir_pdf.php?id=ANU-M-1974-20025900270
ANU-M-1974-20027300273,Vida Académica,Últimas publicaciones,RACMYP,2,1974,00273,00273,abrir_pdf.php?id=ANU-M-1974-20027300273
ANU-M-1975-10000700010,Necrológicas,En la muerte del Secretario perpetuo don Juan Zaragüeta y Bengoechea,RACMYP,1,1975,00007,00010,abrir_pdf.php?id=ANU-M-1975-10000700010
ANU-M-1975-10001300037,Filosofía y Política,Vocabulario de sentido cognoscitivo de ser y estimativo de valores,Juan Zaragüeta Bengoechea,1,1975,00013,00037,abrir_pdf.php?id=ANU-M-1975-10001300037
ANU-M-1975-10003900059,Filosofía y Política,"Alteraciones trascendentales en las relaciones exteriores de España, por el advenimiento de una nueva era mundial, a consecuencia de cambio social",José María Cordero Torres,1,1975,00039,00059,abrir_pdf.php?id=ANU-M-1975-10003900059
ANU-M-1975-10006100097,Filosofía y Política,La inflación como problema político,Mariano Navarro Rubio,1,1975,00061,00097,abrir_pdf.php?id=ANU-M-1975-10006100097
ANU-M-1975-10009900121,Filosofía y Política,Cambio político e ideología,Gonzalo Fernández De La Mora,1,1975,00099,00121,abrir_pdf.php?id=ANU-M-1975-10009900121
ANU-M-1975-10012300149,Filosofía y Política,Los valores latentes de la constitución canovista,José María Cordero Torres,1,1975,00123,00149,abrir_pdf.php?id=ANU-M-1975-10012300149
ANU-M-1975-10015300197,Ciencias Jurídicas,La legislación delegada y su control en la Gran Bretaña,Manuel Fraga Iribarne,1,1975,00153,00197,abrir_pdf.php?id=ANU-M-1975-10015300197
ANU-M-1975-10020100219,Sociología y Economía,Algunos intelectuales del mundo actual,Francisco Moreno de Herrera,1,1975,00201,00219,abrir_pdf.php?id=ANU-M-1975-10020100219
ANU-M-1975-10022100253,Sociología y Economía,Cambio social: evolucionismo y funcionalismo,Manuel Alonso Olea,1,1975,00221,00253,abrir_pdf.php?id=ANU-M-1975-10022100253
ANU-M-1975-10025700275,Figuras Académicas,"Javier Conde: el hombre, el intelectual, el político",Luis Legaz Lacambra,1,1975,00257,00275,abrir_pdf.php?id=ANU-M-1975-10025700275
ANU-M-1975-10027700297,Figuras Académicas,José María de Yanguas Messía (1890-1974),Antonio Truyol Serra,1,1975,00277,00297,abrir_pdf.php?id=ANU-M-1975-10027700297
ANU-M-1975-10030100311,Vida Académica,El discurso para ingreso de D. Juan Zaragüeta,RACMYP,1,1975,00301,00311,abrir_pdf.php?id=ANU-M-1975-10030100311
ANU-M-1975-10031100388,Vida Académica,Crónica del curso 1973-1974,RACMYP,1,1975,00311,00388,abrir_pdf.php?id=ANU-M-1975-10031100388
ANU-M-1976-10000900011,Editorial,En el tránsito de 1975 a 1976. Muerte de Franco y proclamación de D. Juan Carlos I,RACMYP,1,1976,00009,00011,abrir_pdf.php?id=ANU-M-1976-10000900011
ANU-M-1976-10001500041,Filosofía,Consideraciones sobre la dignidad de la persona y de la vida humana,Luis Legaz Lacambra,1,1976,00015,00041,abrir_pdf.php?id=ANU-M-1976-10001500041
ANU-M-1976-10004300063,Filosofía,"El Movimiento de los ' Cristianos por el Socialismo""",Marcelo González Martín,1,1976,00043,00063,abrir_pdf.php?id=ANU-M-1976-10004300063
ANU-M-1976-10006500079,Filosofía,Socialismo y catolicismo,Francisco Moreno de Herrera,1,1976,00065,00079,abrir_pdf.php?id=ANU-M-1976-10006500079
ANU-M-1976-10008100111,Filosofía,Conocimiento virtual e interioridad en Suárez,José Ignacio Alcorta,1,1976,00081,00111,abrir_pdf.php?id=ANU-M-1976-10008100111
ANU-M-1976-10011500132,Política,El proceso de relativización de la democracia moderna,Carlos Ruiz del Castillo,1,1976,00115,00132,abrir_pdf.php?id=ANU-M-1976-10011500132
ANU-M-1976-10013300155,Política,"""Aggiornamento"" de la forma monárquica en España",Antonio Perpiñá Rodríguez,1,1976,00133,00155,abrir_pdf.php?id=ANU-M-1976-10013300155
ANU-M-1976-10015700168,Política,Las crisis españolas de fin de centuria: ante el bimilenario,José María Cordero Torres,1,1976,00157,00168,abrir_pdf.php?id=ANU-M-1976-10015700168
ANU-M-1976-10017100202,Sociología y Economía,La batalla de la estabilización,Mariano Navarro Rubio,1,1976,00171,00202,abrir_pdf.php?id=ANU-M-1976-10017100202
ANU-M-1976-10020300245,Sociología y Economía,La persona humana y la prestación de sus servicios (un apunte sobre historia de las ideas de Bodino a Hegel),Manuel Alonso Olea,1,1976,00203,00245,abrir_pdf.php?id=ANU-M-1976-10020300245
ANU-M-1976-10024700265,Sociología y Economía,"La economía del Estado en la ""Riqueza de las naciones” y en las naciones de nuestro tiempo",Enrique Fuentes Quintana,1,1976,00247,00265,abrir_pdf.php?id=ANU-M-1976-10024700265
ANU-M-1976-10026900297,Figuras Académicas,Juan Zaragüeta. Apuntes sobre su vida y su obra,Mariano Yela Granizo,1,1976,00269,00297,abrir_pdf.php?id=ANU-M-1976-10026900297
ANU-M-1976-10029900315,Figuras Académicas,Vida y obra de Fernando Castiella, José María de Areilza y Martínez Rodas,1,1976,00299,00315,abrir_pdf.php?id=ANU-M-1976-10029900315
ANU-M-1976-10031900335,Vida Académica,"De ""Re"" académica: los Secretarios de la Real Academia de Ciencias Morales y Políticas",José María Cordero Torres,1,1976,00319,00335,abrir_pdf.php?id=ANU-M-1976-10031900335
ANU-M-1976-10033700345,Vida Académica,Crónica del curso 1974-1975,RACMYP,1,1976,00337,00345,abrir_pdf.php?id=ANU-M-1976-10033700345
ANU-M-1976-10034700377,Vida Académica,Los concursos públicos convocados por la Real Academia,RACMYP,1,1976,00347,00377,abrir_pdf.php?id=ANU-M-1976-10034700377
ANU-M-1976-10037900418,Política,"La oligarquía, forma trascendental de gobierno",Gonzalo Fernández De La Mora,1,1976,00379,00418,abrir_pdf.php?id=ANU-M-1976-10037900418
ANU-M-1977-10000900021,Filosofía,Reflexiones sobre la sindéresis,Leopoldo-Eulogio Palacios,1,1977,00009,00021,abrir_pdf.php?id=ANU-M-1977-10000900021
ANU-M-1977-10002300039,Filosofía,El sentido comunitario del hombre,Angel González Álvarez,1,1977,00023,00039,abrir_pdf.php?id=ANU-M-1977-10002300039
ANU-M-1977-10004100060,Filosofía,"La falta de interioridad, drama de la cultura actual y de la Iglesia",Marcelo González Martín,1,1977,00041,00060,abrir_pdf.php?id=ANU-M-1977-10004100060
ANU-M-1977-10006300081,Política,Reflexiones sobre el proceso constitucional democrático actual en España,Carlos Ollero Gómez,1,1977,00063,00081,abrir_pdf.php?id=ANU-M-1977-10006300081
ANU-M-1977-10008300094,Política,La monarquía en el mundo actual,José María Cordero Torres,1,1977,00083,00094,abrir_pdf.php?id=ANU-M-1977-10008300094
ANU-M-1977-10009500109,Política,La monarquía actual de España,Francisco Moreno de Herrera,1,1977,00095,00109,abrir_pdf.php?id=ANU-M-1977-10009500109
ANU-M-1977-10011100150,Política,La Monarquía: España y Europa hoy,José Ignacio Alcorta,1,1977,00111,00150,abrir_pdf.php?id=ANU-M-1977-10011100150
